'Danilo Luís Hélio Pereira','Porto','Primeira Liga','1991-09-09',188.0,83.0,'Portugal',27500000.0, '2018-01-01', '2020-01-01'
'Bas Dost','Sporting CP','Primeira Liga','1989-05-31',196.0,89.0,'Netherlands',27000000.0, '2018-01-01', '2020-01-01'
'Rui Pedro dos Santos Patrício','Sporting CP','Primeira Liga','1988-02-15',190.0,84.0,'Portugal',17500000.0, '2018-01-01', '2020-01-01'
'Jonas Gonçalves Oliveira','Benfica','Primeira Liga','1984-04-01',182.0,74.0,'Brazil',16500000.0, '2018-01-01', '2020-01-01'
'Iker Casillas Fernández','Porto','Primeira Liga','1981-05-20',185.0,84.0,'Spain',3500000.0, '2018-01-01', '2020-01-01'
'Felipe Augusto de Almeida Monteiro','Porto','Primeira Liga','1989-05-16',185.0,77.0,'Brazil',18000000.0, '2018-01-01', '2020-01-01'
'Luis Miguel Afonso Fernandes','Benfica','Primeira Liga','1989-10-06',177.0,72.0,'Portugal',23000000.0, '2018-01-01', '2020-01-01'
'Yacine Brahimi','Porto','Primeira Liga','1990-02-08',175.0,66.0,'Algeria',23000000.0, '2018-01-01', '2020-01-01'
'Ljubomir Fejsa','Benfica','Primeira Liga','1988-08-14',183.0,80.0,'Serbia',18000000.0, '2018-01-01', '2020-01-01'
'Gelson Dany Batalha Martins','Sporting CP','Primeira Liga','1995-05-11',173.0,65.0,'Portugal',25000000.0, '2018-01-01', '2020-01-01'
'Sebastián Coates','Sporting CP','Primeira Liga','1990-10-07',196.0,92.0,'Uruguay',18000000.0, '2018-01-01', '2020-01-01'
'Jesús Corona','Porto','Primeira Liga','1993-01-06',173.0,62.0,'Mexico',23000000.0, '2018-01-01', '2020-01-01'
'Alex Nicolao Telles','Porto','Primeira Liga','1992-12-15',181.0,71.0,'Brazil',16000000.0, '2018-01-01', '2020-01-01'
'Ricardo D. Barbosa Pereira','Porto','Primeira Liga','1993-10-06',175.0,70.0,'Portugal',17000000.0, '2018-01-01', '2020-01-01'
'Alejandro Grimaldo García','Benfica','Primeira Liga','1995-09-20',171.0,69.0,'Spain',17500000.0, '2018-01-01', '2020-01-01'
'Eduardo Salvio','Benfica','Primeira Liga','1990-07-13',173.0,77.0,'Argentina',16000000.0, '2018-01-01', '2020-01-01'
'Iván Marcano Sierra','Porto','Primeira Liga','1987-06-23',187.0,77.0,'Spain',11000000.0, '2018-01-01', '2020-01-01'
'Jardel Nivaldo Vieira','Benfica','Primeira Liga','1986-03-29',192.0,87.0,'Brazil',10000000.0, '2018-01-01', '2020-01-01'
'Jérémy Mathieu','Sporting CP','Primeira Liga','1983-10-29',189.0,84.0,'France',6000000.0, '2018-01-01', '2020-01-01'
'Júlio César Soares Espíndola','Benfica','Primeira Liga','1979-09-03',186.0,79.0,'Brazil',1000000.0, '2018-01-01', '2020-01-01'
