William Silva de Carvalho,Sporting CP,Portuguese Primeira Liga,1992-04-07,187.0,83.0,Portugal,27500000.0
Danilo Luís Hélio Pereira,FC Porto,Portuguese Primeira Liga,1991-09-09,188.0,83.0,Portugal,27500000.0
Bas Dost,Sporting CP,Portuguese Primeira Liga,1989-05-31,196.0,89.0,Netherlands,27000000.0
Rui Pedro dos Santos Patrício,Sporting CP,Portuguese Primeira Liga,1988-02-15,190.0,84.0,Portugal,17500000.0
Jonas Gonçalves Oliveira,SL Benfica,Portuguese Primeira Liga,1984-04-01,182.0,74.0,Brazil,16500000.0
Iker Casillas Fernández,FC Porto,Portuguese Primeira Liga,1981-05-20,185.0,84.0,Spain,3500000.0
Felipe Augusto de Almeida Monteiro,FC Porto,Portuguese Primeira Liga,1989-05-16,185.0,77.0,Brazil,18000000.0
Luis Miguel Afonso Fernandes,SL Benfica,Portuguese Primeira Liga,1989-10-06,177.0,72.0,Portugal,23000000.0
Yacine Brahimi,FC Porto,Portuguese Primeira Liga,1990-02-08,175.0,66.0,Algeria,23000000.0
Ljubomir Fejsa,SL Benfica,Portuguese Primeira Liga,1988-08-14,183.0,80.0,Serbia,18000000.0
Gelson Dany Batalha Martins,Sporting CP,Portuguese Primeira Liga,1995-05-11,173.0,65.0,Portugal,25000000.0
Sebastián Coates,Sporting CP,Portuguese Primeira Liga,1990-10-07,196.0,92.0,Uruguay,18000000.0
Jesús Corona,FC Porto,Portuguese Primeira Liga,1993-01-06,173.0,62.0,Mexico,23000000.0
Alex Nicolao Telles,FC Porto,Portuguese Primeira Liga,1992-12-15,181.0,71.0,Brazil,16000000.0
Ricardo D. Barbosa Pereira,FC Porto,Portuguese Primeira Liga,1993-10-06,175.0,70.0,Portugal,17000000.0
Alejandro Grimaldo García,SL Benfica,Portuguese Primeira Liga,1995-09-20,171.0,69.0,Spain,17500000.0
Eduardo Salvio,SL Benfica,Portuguese Primeira Liga,1990-07-13,173.0,77.0,Argentina,16000000.0
Iván Marcano Sierra,FC Porto,Portuguese Primeira Liga,1987-06-23,187.0,77.0,Spain,11000000.0
Jardel Nivaldo Vieira,SL Benfica,Portuguese Primeira Liga,1986-03-29,192.0,87.0,Brazil,10000000.0
Jérémy Mathieu,Sporting CP,Portuguese Primeira Liga,1983-10-29,189.0,84.0,France,6000000.0
Júlio César Soares Espíndola,SL Benfica,Portuguese Primeira Liga,1979-09-03,186.0,79.0,Brazil,1000000.0
Francisco Soares dos Santos,FC Porto,Portuguese Primeira Liga,1991-01-17,187.0,82.0,Brazil,15500000.0
Marcos Acuña,Sporting CP,Portuguese Primeira Liga,1991-10-28,172.0,69.0,Argentina,16000000.0
Óliver Torres Muñoz,FC Porto,Portuguese Primeira Liga,1994-11-10,175.0,63.0,Spain,17000000.0
Seydou Doumbia,Sporting CP,Portuguese Primeira Liga,1987-12-31,179.0,71.0,Ivory Coast,12500000.0
Héctor Herrera,FC Porto,Portuguese Primeira Liga,1990-04-19,183.0,72.0,Mexico,14000000.0
Anderson Luís da Silva,SL Benfica,Portuguese Primeira Liga,1981-02-13,195.0,91.0,Brazil,1700000.0
Franco Cervi,SL Benfica,Portuguese Primeira Liga,1994-05-26,166.0,62.0,Argentina,14500000.0
Raúl Michel Melo da Silva,SC Braga,Portuguese Primeira Liga,1989-11-04,187.0,81.0,Brazil,10000000.0
Rodrigo Battaglia,Sporting CP,Portuguese Primeira Liga,1991-07-12,187.0,79.0,Argentina,12500000.0
Rafael A. Ferreira Silva,SL Benfica,Portuguese Primeira Liga,1993-05-17,171.0,66.0,Portugal,14000000.0
Lisandro López,SL Benfica,Portuguese Primeira Liga,1989-09-01,188.0,82.0,Argentina,10000000.0
Alan Ruiz,Sporting CP,Portuguese Primeira Liga,1993-08-19,183.0,77.0,Argentina,14500000.0
Hernâni Jorge Santos Fortes,FC Porto,Portuguese Primeira Liga,1991-08-20,178.0,69.0,Portugal,12500000.0
Iuri José Picanço Medeiros,Sporting CP,Portuguese Primeira Liga,1994-07-10,174.0,64.0,Portugal,14500000.0
Bruno Miguel Borges Fernandes,Sporting CP,Portuguese Primeira Liga,1994-09-08,179.0,69.0,Portugal,14000000.0
Andreas Samaris,SL Benfica,Portuguese Primeira Liga,1989-06-13,189.0,84.0,Greece,8500000.0
Raúl Jiménez,SL Benfica,Portuguese Primeira Liga,1991-05-05,187.0,81.0,Mexico,12500000.0
José Carlos Coentrão Marafona,SC Braga,Portuguese Primeira Liga,1987-05-08,190.0,86.0,Portugal,6500000.0
André Filipe Brás André,FC Porto,Portuguese Primeira Liga,1989-08-26,174.0,65.0,Portugal,10500000.0
Vincent Aboubakar,FC Porto,Portuguese Primeira Liga,1992-01-22,184.0,82.0,Cameroon,13500000.0
Maximiliano Pereira,FC Porto,Portuguese Primeira Liga,1984-06-08,173.0,73.0,Uruguay,4000000.0
Miguel Layún,FC Porto,Portuguese Primeira Liga,1988-06-25,179.0,69.0,Mexico,8000000.0
Diego Reyes,FC Porto,Portuguese Primeira Liga,1992-09-19,189.0,74.0,Mexico,10000000.0
Marcelo dos Santos Ferreira,Rio Ave FC,Portuguese Primeira Liga,1989-07-27,182.0,74.0,Brazil,7500000.0
Bryan Ruíz,Sporting CP,Portuguese Primeira Liga,1985-08-18,188.0,78.0,Costa Rica,8000000.0
André Almeida Pinto,Sporting CP,Portuguese Primeira Liga,1989-10-05,194.0,86.0,Portugal,8500000.0
Andrija Živković,SL Benfica,Portuguese Primeira Liga,1996-07-11,169.0,70.0,Serbia,14000000.0
Bruno Miguel Semedo Varela,SL Benfica,Portuguese Primeira Liga,1994-11-04,191.0,87.0,Portugal,9000000.0
Pedro Henrique Pereira da Silva,Vitória Guimarães,Portuguese Primeira Liga,1992-12-18,190.0,88.0,Brazil,10000000.0
Fábio Alexandre Silva Coentrão,Sporting CP,Portuguese Primeira Liga,1988-03-11,179.0,66.0,Portugal,6500000.0
Ricardo José Araújo Ferreira,SC Braga,Portuguese Primeira Liga,1992-11-25,190.0,76.0,Portugal,10000000.0
Bruno César Zanaki,Sporting CP,Portuguese Primeira Liga,1988-11-03,177.0,75.0,Brazil,9000000.0
Raphael Dias Belloli,Vitória Guimarães,Portuguese Primeira Liga,1996-12-14,176.0,68.0,Brazil,13000000.0
Moussa Marega,FC Porto,Portuguese Primeira Liga,1991-04-14,186.0,83.0,Mali,9500000.0
Otávio Edmilson da Silva Monteiro,FC Porto,Portuguese Primeira Liga,1995-02-09,172.0,71.0,Brazil,12000000.0
Ricardo Jorge da Luz Horta,SC Braga,Portuguese Primeira Liga,1994-09-15,173.0,63.0,Portugal,11000000.0
João Maria Palhinha Gonçalves,Sporting CP,Portuguese Primeira Liga,1995-07-09,190.0,82.0,Portugal,10000000.0
Renan Bardini Bressan,Grupo Desportivo de Chaves,Portuguese Primeira Liga,1988-11-03,182.0,75.0,Belarus,7500000.0
Wilson Bruno Naval Costa Eduardo,SC Braga,Portuguese Primeira Liga,1990-07-08,179.0,73.0,Portugal,8500000.0
Filip Krovinović,SL Benfica,Portuguese Primeira Liga,1995-08-29,175.0,70.0,Croatia,10500000.0
