C. Ronaldo dos Santos Aveiro,1985-02-05,95500000
Lionel Messi,1987-06-24,105000000
Luis Suárez,1987-01-24,97000000
Manuel Neuer,1986-03-27,61000000
Robert Lewandowski,1988-08-21,92000000
David De Gea Quintana,1990-11-07,64500000
Eden Hazard,1991-01-07,90500000
Toni Kroos,1990-01-04,79000000
Gonzalo Higuaín,1987-12-10,77000000
Sergio Ramos García,1986-03-30,52000000
Kevin De Bruyne,1991-06-28,83000000
Thibaut Courtois,1992-05-11,59000000
Alexis Sánchez,1988-12-19,67500000
Luka Modric,1985-09-09,57000000
Gareth Bale,1989-07-16,69500000
Sergio Agüero,1988-06-02,66500000
Giorgio Chiellini,1984-08-14,38000000
Gianluigi Buffon,1978-01-28,4500000
Paulo Dybala,1993-11-15,79000000
Jan Oblak,1993-01-07,57000000
Antoine Griezmann,1991-03-21,75000000
Thiago Alcântara,1991-04-11,70500000
Pierre-Emerick Aubameyang,1989-06-18,61000000
Leonardo Bonucci,1987-05-01,44000000
Jérôme Boateng,1988-09-03,48000000
Diego Godín,1986-02-16,40000000
Mats Hummels,1988-12-16,48000000
Mesut Özil,1988-10-15,60000000
Hugo Lloris,1986-12-26,38000000
Zlatan Ibrahimovic,1981-10-03,27000000
Arjen Robben,1984-01-23,36000000
N'Golo Kanté,1991-03-29,52500000
Paul Pogba,1993-03-15,66500000
Christian Eriksen,1992-02-14,65000000
Arturo Vidal,1987-05-22,37500000
Marcelo Vieira da Silva,1988-05-12,38000000
Marek Hamšík,1987-07-27,48500000
Ivan Rakitic,1988-03-10,48500000
David Josué Jiménez Silva,1986-01-08,44000000
Samir Handanovic,1984-07-14,29000000
Gerard Piqué Bernabeu,1987-02-02,37500000
Andrés Iniesta Luján,1984-05-11,29500000
Harry Kane,1993-07-28,59000000
James Rodríguez,1991-07-12,56000000
Francisco Román Alarcón Suárez,1992-04-21,56500000
David Alaba,1992-06-24,44500000
Romelu Lukaku,1993-05-13,59000000
Alex Sandro Lobo Silva,1991-01-26,44000000
Thomas Müller,1989-09-13,47500000
Sergio Busquets Burgos,1988-07-16,36000000
Philippe Coutinho Correia,1992-06-12,56000000
Marco Reus,1989-05-31,45000000
Toby Alderweireld,1989-03-02,40500000
David Luiz Moreira Marinho,1987-04-22,33000000
Diego da Silva Costa,1988-10-07,46000000
Radja Nainggolan,1988-05-04,42500000
Javier Martínez Aginaga,1988-09-02,36000000
Dries Mertens,1987-05-06,43000000
Sokratis Papastathopoulos,1988-06-09,34500000
João Miranda de Souza Filho,1984-09-07,25500000
Karim Benzema,1987-12-19,44500000
Francesc Fàbregas i Soler,1987-05-04,41000000
Franck Ribéry,1983-04-07,22500000
Petr cech,1982-05-20,10500000
Yannick Carrasco,1993-09-04,51500000
Raphaël Varane,1993-04-25,46500000
Álvaro Borja Morata Martín,1992-10-23,51000000
Carlos Henrique Venancio Casimiro,1992-02-23,42000000
Lorenzo Insigne,1991-06-04,45000000
Jorge Resurrección,1992-01-08,47500000
Alexandre Lacazette,1991-05-28,48500000
Keylor Navas,1986-12-15,24500000
Henrikh Mkhitaryan,1989-01-21,39000000
Bernd Leno,1992-03-04,34000000
Marc-André ter Stegen,1992-04-30,35500000
Jordi Alba Ramos,1989-03-21,30500000
clkay Gündocan,1990-10-24,46000000
César Azpilicueta Tanco,1989-08-28,37500000
Miralem Pjanic,1990-04-02,43500000
Claudio Marchisio,1986-01-19,33000000
Jan Vertonghen,1987-04-24,28500000
Blaise Matuidi,1987-04-09,28500000
Filipe Luís Kasmirski,1985-08-09,25000000
Vincent Kompany,1986-04-10,26000000
Andrea Barzagli,1981-05-08,5000000
Eric Bailly,1994-04-12,35500000
Marco Asensio Willemsen,1996-01-21,46000000
Bernardo Mota Carvalho e Silva,1994-08-10,43500000
Aymeric Laporte,1994-05-27,35500000
Dele Alli,1996-04-11,43000000
Sadio Mané,1992-04-10,39000000
Daniel Carvajal Ramos,1992-01-11,32000000
Mauro Icardi,1993-02-19,42000000
Kalidou Koulibaly,1991-06-20,32500000
Timo Horn,1993-05-12,31000000
Kostas Manolas,1991-06-14,31500000
Shkodran Mustafi,1992-04-17,31500000
Ander Herrera Agüera,1989-08-14,32000000
Nemanja Matic,1988-08-01,25000000
Kevin Strootman,1990-02-13,35000000
Pedro Rodríguez Ledesma,1987-07-28,30500000
Roman Bürki,1990-11-14,26000000
Bruno Soriano Llido,1984-06-12,18500000
Ivan Perišic,1989-02-02,31500000
Edin Džeko,1986-03-17,28000000
Willian Borges da Silva,1988-08-09,31500000
Sami Khedira,1987-04-04,29000000
Ralf Fährmann,1988-09-27,25000000
Sergio Asenjo Andrés,1989-06-28,25000000
Juan Manuel Mata García,1988-04-28,30500000
Medhi Benatia,1987-04-17,23000000
Laurent Koscielny,1985-09-10,21000000
Gary Cahill,1985-12-19,21000000
Alejandro Gómez,1988-02-15,31000000
Aritz Aduriz Zubeldia,1981-02-11,11000000
Ousmane Dembélé,1997-05-15,40000000
Naby Keïta,1995-02-10,34000000
José María Giménez,1995-01-20,28500000
Gerónimo Rulli,1992-05-20,25500000
João Mário Naval Costa Eduardo,1993-01-19,34000000
Niklas Süle,1995-09-03,30500000
Ederson Santana de Moraes,1993-08-17,26000000
Leon Goretzka,1995-02-06,34000000
Mohamed Salah,1992-06-15,32500000
Andrea Belotti,1993-12-20,37000000
Emil Forsberg,1991-10-23,31500000
