C. Ronaldo dos Santos Aveiro,Real Madrid CF,LaLiga,1985-02-05,185.0,80.0,Portugal,95500000.0
Lionel Messi,FC Barcelona,LaLiga,1987-06-24,170.0,72.0,Argentina,105000000.0
Luis Suárez,FC Barcelona,LaLiga,1987-01-24,182.0,86.0,Uruguay,97000000.0
Manuel Neuer,FC Bayern Munich,German Bundesliga,1986-03-27,193.0,92.0,Germany,61000000.0
Robert Lewandowski,FC Bayern Munich,German Bundesliga,1988-08-21,185.0,79.0,Poland,92000000.0
David De Gea Quintana,Manchester United,English Premier League,1990-11-07,193.0,76.0,Spain,64500000.0
Eden Hazard,Chelsea,English Premier League,1991-01-07,173.0,76.0,Belgium,90500000.0
Toni Kroos,Real Madrid CF,LaLiga,1990-01-04,182.0,78.0,Germany,79000000.0
Gonzalo Higuaín,Juventus,Italian Serie A,1987-12-10,184.0,87.0,Argentina,77000000.0
Sergio Ramos García,Real Madrid CF,LaLiga,1986-03-30,183.0,75.0,Spain,52000000.0
Kevin De Bruyne,Manchester City,English Premier League,1991-06-28,181.0,68.0,Belgium,83000000.0
Thibaut Courtois,Chelsea,English Premier League,1992-05-11,199.0,94.0,Belgium,59000000.0
Alexis Sánchez,Arsenal,English Premier League,1988-12-19,169.0,62.0,Chile,67500000.0
Luka Modrić,Real Madrid CF,LaLiga,1985-09-09,174.0,65.0,Croatia,57000000.0
Gareth Bale,Real Madrid CF,LaLiga,1989-07-16,183.0,74.0,Wales,69500000.0
Sergio Agüero,Manchester City,English Premier League,1988-06-02,173.0,70.0,Argentina,66500000.0
Giorgio Chiellini,Juventus,Italian Serie A,1984-08-14,187.0,85.0,Italy,38000000.0
Gianluigi Buffon,Juventus,Italian Serie A,1978-01-28,191.0,94.0,Italy,4500000.0
Paulo Dybala,Juventus,Italian Serie A,1993-11-15,177.0,73.0,Argentina,79000000.0
Jan Oblak,Atlético Madrid,LaLiga,1993-01-07,189.0,82.0,Slovenia,57000000.0
